"","id","stimuli","time","oxygen"
"2","D0864","none",5,1.318385
"3","D0864","none",10,1.317141
"4","D0864","none",15,1.299093
"5","D0864","none",20,1.287909
"6","D0864","none",25,1.280021
"7","D0864","none",30,1.27565
"8","D0864","none",35,1.278531
"9","D0864","none",40,1.283168
"10","D0864","none",45,1.29278
"11","D0864","none",50,1.302015
"12","D0864","none",55,1.307719
"13","D0864","none",60,1.309531
"14","D0864","none",65,1.322386
"15","D0864","none",70,1.327361
"16","D0864","none",75,1.331066
"17","D0864","none",80,1.334289
"18","D0864","none",85,1.33899
"19","D0864","none",90,1.338558
"20","D0864","none",95,1.343036
"21","D0864","none",100,1.344051
"22","D0864","none",105,1.344369
"23","D0864","none",110,1.338128
"24","D0864","none",115,1.344618
"25","D0864","none",120,1.3556
"26","D0864","none",125,1.388035
"27","D0864","none",130,1.426691
"28","D0864","none",135,1.456523
"29","D0864","none",140,1.470149
"30","D0864","none",145,1.463647
"31","D0864","none",150,1.449554
"32","D0864","none",155,1.423804
"33","D0864","none",160,1.492236
"34","D0864","none",165,1.660267
"35","D0864","none",170,1.82999
"36","D0864","none",175,1.865078
"37","D0864","none",180,1.784829
"38","D0864","none",185,1.628535
"39","D0864","none",190,1.528146
"40","D0864","none",195,1.469018
"41","D0864","none",200,1.359441
"42","D0864","none",205,1.262113
"43","D0864","none",210,1.20314
"44","D0864","none",215,1.174879
"45","D0864","none",220,1.164433
"46","D0864","none",225,1.15902
"47","D0864","none",230,1.161446
"48","D0864","none",235,1.166155
"49","D0864","none",240,1.181095
"50","D0864","none",245,1.206532
"51","D0864","none",250,1.230335
"52","D0864","none",255,1.271179
"53","D0864","none",260,1.289145
"54","D0864","none",265,1.310694
"55","D0864","none",270,1.336283
"56","D0864","none",275,1.356232
"57","D0864","none",280,1.343079
"58","D0864","none",285,1.321849
"59","D0864","none",290,1.290227
"60","D0864","none",295,1.275364
"61","D0864","none",300,1.276944
"62","D0864","random_noise",305,1.277741
"63","D0864","random_noise",310,1.272735
"64","D0864","random_noise",315,1.272087
"65","D0864","random_noise",320,1.270768
"66","D0864","random_noise",325,1.252006
"67","D0864","random_noise",330,1.244572
"68","D0864","random_noise",335,1.243958
"69","D0864","random_noise",340,1.30756
"70","D0864","random_noise",345,1.38768
"71","D0864","random_noise",350,1.488019
"72","D0864","random_noise",355,1.553994
"73","D0864","random_noise",360,1.523812
"74","D0864","random_noise",365,1.505992
"75","D0864","random_noise",370,1.661276
"76","D0864","random_noise",375,1.84931
"77","D0864","random_noise",380,1.874833
"78","D0864","random_noise",385,1.813732
"79","D0864","random_noise",390,1.66345
"80","D0864","random_noise",395,1.544526
"81","D0864","random_noise",400,1.549496
"82","D0864","random_noise",405,1.584883
"83","D0864","random_noise",410,1.714172
"84","D0864","random_noise",415,1.939258
"85","D0864","random_noise",420,1.99508
"86","D0864","random_noise",425,1.870329
"87","D0864","random_noise",430,1.801199
"88","D0864","random_noise",435,1.757885
"89","D0864","random_noise",440,1.639869
"90","D0864","random_noise",445,1.520012
"91","D0864","random_noise",450,1.453434
"92","D0864","random_noise",455,1.611208
"93","D0864","random_noise",460,1.68665
"94","D0864","random_noise",465,1.62175
"95","D0864","random_noise",470,1.621273
"96","D0864","random_noise",475,1.874939
"97","D0864","random_noise",480,2.052613
"98","D0864","random_noise",485,1.933562
"99","D0864","random_noise",490,1.825355
"100","D0864","random_noise",495,1.753538
"101","D0864","random_noise",500,1.608762
"102","D0864","random_noise",505,1.474557
"103","D0864","random_noise",510,1.338558
"104","D0864","random_noise",515,1.24305
"105","D0864","random_noise",520,1.265836
"106","D0864","random_noise",525,1.46444
"107","D0864","random_noise",530,1.526048
