Cantos,Muestras,,
,,CTC,CZC
1,37,1.318385,1.720724
1,38,1.317141,1.71649
1,39,1.299093,1.720062
1,40,1.287909,1.7083
1,41,1.280021,1.709298
1,42,1.27565,1.70532
1,43,1.278531,1.70934
1,44,1.283168,1.704648
1,45,1.29278,1.701294
1,46,1.302015,1.692527
1,47,1.307719,1.691967
1,48,1.309531,1.679143
1,49,1.322386,1.669565
1,50,1.327361,1.652356
1,51,1.331066,1.643009
1,52,1.334289,1.642222
1,53,1.33899,1.636248
1,54,1.338558,1.631879
1,55,1.343036,1.627272
1,56,1.344051,1.628211
1,57,1.344369,1.631412
1,58,1.338128,1.639008
1,59,1.344618,1.65124
1,60,1.3556,1.650862
1,61,1.388035,1.647219
1,62,1.426691,1.656203
1,63,1.456523,1.680138
1,64,1.470149,1.706907
1,65,1.463647,1.725881
1,66,1.449554,1.727424
1,67,1.423804,1.72061
1,68,1.492236,1.711484
1,69,1.660267,1.703628
1,70,1.82999,1.721624
1,71,1.865078,1.74645
1,72,1.784829,1.762721
1,73,1.628535,1.768214
1,74,1.528146,1.768421
1,75,1.469018,1.770254
1,76,1.359441,1.768448
1,77,1.262113,1.761279
1,78,1.20314,1.751349
1,79,1.174879,1.745489
1,80,1.164433,1.731377
1,81,1.15902,1.725859
1,82,1.161446,1.71372
1,83,1.166155,1.71183
1,84,1.181095,1.714843
1,85,1.206532,1.714183
1,86,1.230335,1.715542
1,87,1.271179,1.719912
1,88,1.289145,1.722121
1,89,1.310694,1.734905
1,90,1.336283,1.757622
1,91,1.356232,1.761228
1,92,1.343079,1.769333
1,93,1.321849,1.770546
1,94,1.290227,1.768909
1,95,1.275364,1.775246
1,96,1.276944,1.764101
2,97,1.277741,1.756786
2,98,1.272735,1.764112
2,99,1.272087,1.776566
2,100,1.270768,1.78176
2,101,1.252006,1.800088
2,102,1.244572,1.815807
2,103,1.243958,1.814094
2,104,1.30756,1.795053
2,105,1.38768,1.787077
2,106,1.488019,1.787337
2,107,1.553994,1.795635
2,108,1.523812,1.795875
2,109,1.505992,1.807555
2,110,1.661276,1.833639
2,111,1.84931,1.871862
2,112,1.874833,1.923959
2,113,1.813732,1.94627
2,114,1.66345,2.019387
2,115,1.544526,2.219673
2,116,1.549496,2.391119
2,117,1.584883,2.419031
2,118,1.714172,2.330599
2,119,1.939258,2.221271
2,120,1.99508,2.162649
2,121,1.870329,2.142509
2,122,1.801199,2.106872
2,123,1.757885,2.056915
2,124,1.639869,2.055822
2,125,1.520012,2.174448
2,126,1.453434,2.284443
2,127,1.611208,2.283784
2,128,1.68665,2.208685
2,129,1.62175,2.108497
2,130,1.621273,2.026157
2,131,1.874939,1.982976
2,132,2.052613,1.972616
2,133,1.933562,1.967793
2,134,1.825355,1.962545
2,135,1.753538,1.99087
2,136,1.608762,2.037737
2,137,1.474557,2.08448
2,138,1.338558,2.125593
2,139,1.24305,2.153841
2,140,1.265836,2.180812
2,141,1.46444,2.228306
2,142,1.526048,2.355609
2,143,1.444324,2.494022
2,144,1.375531,2.59443
2,145,1.329328,2.627731
2,146,1.278683,2.584193
2,147,1.207278,2.443
2,148,1.17547,2.288813
2,149,1.237726,2.157731
2,150,1.493558,2.040938
2,151,1.605388,1.960531
2,152,1.579301,1.917015
2,153,1.517469,1.901606
2,154,1.435223,1.882771
2,155,1.320058,1.915097
2,156,1.30099,2.067691
2,157,1.452461,2.248021
2,158,1.458321,2.382819
2,159,1.410839,2.474529
2,160,1.37028,2.525526
2,161,1.301951,2.511865
2,162,1.222455,2.430401
2,163,1.180603,2.293706
2,164,1.263445,2.144046
2,165,1.316849,2.003418
2,166,1.389191,1.886244
2,167,1.443498,1.814395
2,168,1.374461,1.779137
2,169,1.273364,1.794453
2,170,1.375125,1.830655
2,171,1.518236,1.897635
2,172,1.492486,1.940311
2,173,1.366741,1.93235
2,174,1.255922,1.907692
2,175,1.17959,1.890845
2,176,1.126564,1.883106
2,177,1.295311,1.872394
2,178,1.5019,1.870373
2,179,1.566512,1.867704
2,180,1.490532,1.884166
2,181,1.401589,1.914745
2,182,1.520726,1.947945
2,183,1.535176,1.989398
2,184,1.433012,2.025255
2,185,1.461919,2.086467
2,186,1.552359,2.124103
2,187,1.496846,2.178946
2,188,1.428394,2.365063
2,189,1.480477,2.517187
2,190,1.471975,2.568388
2,191,1.34223,2.556795
2,192,1.234672,2.556543
2,193,1.323794,2.576743
2,194,1.396281,2.486078
2,195,1.370143,2.318606
2,196,1.413087,2.151513
2,197,1.390091,2.012614
2,198,1.27074,1.908037
2,199,1.168849,1.843735
2,200,1.159676,1.813832
2,201,1.336884,1.822143
2,202,1.392036,1.865598
2,203,1.375017,1.933362
2,204,1.283669,1.98511
2,205,1.309402,2.01746
2,206,1.415058,2.031154
2,207,1.400405,2.006249
2,208,1.333218,1.949914
2,209,1.244771,1.905394
2,210,1.288713,2.020941
2,211,1.364481,2.16548
2,212,1.350999,2.234645
2,213,1.44831,2.220062
2,214,1.448999,2.137972
2,215,1.394697,2.038249
2,216,1.317906,1.96803
3,217,1.349267,1.933475
3,218,1.423759,1.921457
3,219,1.42821,1.917384
3,220,1.511024,1.912205
3,221,1.492362,1.907751
3,222,1.3936,1.910915
3,223,1.365738,1.928593
3,224,1.464871,1.945409
3,225,1.560248,1.991985
3,226,1.476653,2.115763
3,227,1.345506,2.169146
3,228,1.23844,2.157749
3,229,1.304501,2.105021
3,230,1.449945,2.086286
3,231,1.443792,2.18048
3,232,1.446227,2.264525
3,233,1.602116,2.275406
3,234,1.612659,2.215816
3,235,1.514637,2.130692
3,236,1.381107,2.073014
3,237,1.282598,2.046698
3,238,1.40309,2.059191
