Cantos,Muestras,,
,,CTC,CZC
1,37,2.153643,1.803477
1,38,2.153342,1.806928
1,39,2.154435,1.805143
1,40,2.153668,1.812915
1,41,2.159297,1.818283
1,42,2.157158,1.814025
1,43,2.155092,1.823485
1,44,2.162855,1.821365
1,45,2.164108,1.823921
1,46,2.16201,1.824607
1,47,2.159413,1.827787
1,48,2.159492,1.827194
1,49,2.163525,1.826059
1,50,2.164388,1.8192
1,51,2.160612,1.820367
1,52,2.168292,1.816437
1,53,2.16226,1.815375
1,54,2.166583,1.80816
1,55,2.167665,1.810473
1,56,2.163048,1.809875
1,57,2.158855,1.810824
1,58,2.144951,1.806724
1,59,2.144465,1.803943
1,60,2.141681,1.795173
1,61,2.140153,1.787223
1,62,2.142577,1.789706
1,63,2.144289,1.783216
1,64,2.147593,1.787426
1,65,2.157941,1.797795
1,66,2.153659,1.814181
1,67,2.145811,1.818452
1,68,2.135088,1.820504
1,69,2.124679,1.822737
1,70,2.11605,1.821199
1,71,2.119495,1.815006
1,72,2.111508,1.810469
1,73,2.115719,1.79578
1,74,2.121224,1.792159
1,75,2.12129,1.782756
1,76,2.114853,1.785573
1,77,2.11346,1.790177
1,78,2.114932,1.793109
1,79,2.12657,1.797158
1,80,2.139586,1.812802
1,81,2.145478,1.799353
1,82,2.161167,1.792084
1,83,2.164527,1.780458
1,84,2.165759,1.785478
1,85,2.160663,1.783293
1,86,2.151223,1.778703
1,87,2.143599,1.76915
1,88,2.126908,1.762017
1,89,2.127614,1.758757
1,90,2.12194,1.776435
1,91,2.131718,1.784108
1,92,2.139517,1.800543
1,93,2.141954,1.807534
1,94,2.148812,1.812394
1,95,2.141482,1.817742
1,96,2.137608,1.815872
2,97,2.136049,1.824
2,98,2.13986,1.822065
2,99,2.132477,1.822309
2,100,2.128102,1.819263
2,101,2.136855,1.821278
2,102,2.137555,1.819228
2,103,2.101767,1.786612
2,104,2.045609,1.733492
2,105,1.992025,1.710457
2,106,1.952917,1.749163
2,107,1.934908,1.749995
2,108,1.922088,1.754119
2,109,1.921027,1.803517
2,110,1.924463,1.841598
2,111,1.943525,1.865627
2,112,1.967133,1.856655
2,113,2.004338,1.874068
2,114,2.027868,1.906281
2,115,2.041275,1.927068
2,116,2.051406,1.933246
2,117,2.068649,1.928574
2,118,2.08368,1.933989
2,119,2.105153,2.018626
2,120,2.170072,2.092491
2,121,2.213782,2.105449
2,122,2.24861,2.111011
2,123,2.256335,2.096254
2,124,2.258176,2.071888
2,125,2.265283,2.022063
2,126,2.289646,1.959841
2,127,2.295219,1.899826
2,128,2.289482,1.86579
2,129,2.261848,1.866705
2,130,2.196924,1.968052
2,131,2.156311,1.971998
2,132,2.152277,1.922972
2,133,2.157717,1.912493
2,134,2.165866,1.9576
2,135,2.164314,1.971356
2,136,2.161857,1.914893
2,137,2.15618,1.902214
2,138,2.155731,1.939299
2,139,2.137171,1.922621
2,140,2.137185,1.911169
2,141,2.138874,1.92789
2,142,2.138868,1.995528
2,143,2.152241,2.074438
2,144,2.177418,2.036934
2,145,2.201324,2.009227
2,146,2.232768,1.997673
2,147,2.259195,1.927155
2,148,2.237849,1.86412
2,149,2.247031,1.826787
2,150,2.236716,1.803289
2,151,2.228906,1.777271
2,152,2.226022,1.752734
2,153,2.220719,1.720472
2,154,2.221164,1.693938
2,155,2.23636,1.68087
2,156,2.272423,1.660745
2,157,2.319593,1.65626
2,158,2.337364,1.651884
2,159,2.330566,1.677862
2,160,2.3075,1.754166
2,161,2.304522,1.802745
2,162,2.30641,1.864976
2,163,2.308366,1.902258
2,164,2.304643,1.935146
2,165,2.318949,1.947618
2,166,2.321657,1.913342
2,167,2.322742,1.904931
2,168,2.296069,1.890624
2,169,2.259352,1.919871
2,170,2.198061,1.955712
2,171,2.144178,1.988224
2,172,2.115113,2.028179
2,173,2.110585,2.037234
