Cantos,Muestras,,
,,CTC,CZC
1,37,1.219508,1.350336
1,38,1.223102,1.349034
1,39,1.233203,1.392965
1,40,1.248453,1.425481
1,41,1.231948,1.433718
1,42,1.2064,1.414336
1,43,1.19823,1.393948
1,44,1.199187,1.409347
1,45,1.223848,1.442202
1,46,1.218822,1.460977
1,47,1.203398,1.484956
1,48,1.208263,1.50408
1,49,1.217672,1.483924
1,50,1.211521,1.431181
1,51,1.207681,1.383383
1,52,1.215536,1.340229
1,53,1.235353,1.293465
1,54,1.2485,1.282892
1,55,1.271171,1.336511
1,56,1.306213,1.438091
1,57,1.331947,1.534556
1,58,1.331457,1.57295
1,59,1.307162,1.605338
1,60,1.294718,1.590992
1,61,1.292066,1.550818
1,62,1.29016,1.53292
1,63,1.27138,1.526614
1,64,1.266024,1.529525
1,65,1.290496,1.53635
1,66,1.367262,1.52045
1,67,1.403961,1.501824
1,68,1.389054,1.488483
1,69,1.35264,1.487442
1,70,1.332602,1.493623
1,71,1.334993,1.520741
1,72,1.354113,1.551417
1,73,1.37624,1.576302
1,74,1.361741,1.589408
1,75,1.325161,1.578965
1,76,1.295023,1.565045
1,77,1.292997,1.556902
1,78,1.313057,1.541887
1,79,1.320179,1.519585
1,80,1.338177,1.521571
1,81,1.334277,1.52147
1,82,1.318086,1.515463
1,83,1.292606,1.496482
1,84,1.278896,1.49066
1,85,1.296184,1.491799
1,86,1.319551,1.474948
1,87,1.31021,1.485286
1,88,1.270905,1.513169
1,89,1.281896,1.560859
1,90,1.297044,1.591896
1,91,1.283514,1.605262
1,92,1.288542,1.62139
1,93,1.306727,1.621412
1,94,1.290295,1.611845
1,95,1.281006,1.660581
1,96,1.266606,1.703887
2,97,1.263512,1.693952
2,98,1.241954,1.681837
2,99,1.240515,1.654097
2,100,1.231392,1.606694
2,101,1.208207,1.602835
2,102,1.200643,1.64408
2,103,1.215377,1.549886
2,104,1.214734,1.433578
2,105,1.228227,1.342774
2,106,1.246867,1.31485
2,107,1.261712,1.365948
2,108,1.253003,1.415781
