Cantos,Muestras,,
,,CTC,CZC
1,37,0.802439,1.393463
1,38,0.8013292,1.391814
1,39,0.7916013,1.38434
1,40,0.7870946,1.385325
1,41,0.7890093,1.39039
1,42,0.8025234,1.398623
1,43,0.8125416,1.400069
1,44,0.8260365,1.411823
1,45,0.8689247,1.422208
1,46,0.9763023,1.420045
1,47,1.073762,1.4259
1,48,1.114802,1.42698
1,49,1.090869,1.431898
1,50,1.043103,1.439746
1,51,0.9726851,1.437474
1,52,0.937573,1.436062
1,53,0.9503516,1.435419
1,54,1.050098,1.435274
1,55,1.142937,1.435899
1,56,1.16538,1.435585
1,57,1.104732,1.435147
1,58,1.026364,1.437758
1,59,0.9533983,1.440537
1,60,0.9061455,1.434896
1,61,0.886661,1.434118
1,62,0.8873004,1.433277
1,63,0.9283035,1.429556
1,64,0.9712873,1.433206
1,65,1.011272,1.432809
1,66,1.023059,1.433258
1,67,1.001309,1.431293
1,68,0.9889555,1.432813
1,69,0.9814379,1.429906
1,70,0.9904264,1.427775
1,71,1.00108,1.426288
1,72,1.001586,1.424856
1,73,1.002723,1.419997
1,74,1.002074,1.430343
1,75,1.008648,1.469215
1,76,1.005638,1.52783
1,77,0.9914299,1.584023
1,78,0.9937212,1.62579
1,79,0.9988966,1.664662
1,80,1.01864,1.68501
1,81,1.028261,1.695591
1,82,1.044393,1.69763
1,83,1.057617,1.699468
1,84,1.087043,1.702684
1,85,1.195966,1.699159
1,86,1.313883,1.690304
1,87,1.400057,1.701181
1,88,1.441646,1.706162
1,89,1.369982,1.702561
1,90,1.251832,1.709702
1,91,1.15882,1.705891
1,92,1.104325,1.712414
1,93,1.078756,1.715736
1,94,1.066676,1.727101
1,95,1.053115,1.726066
1,96,1.052313,1.726148
2,97,1.048443,1.722788
2,98,1.044516,1.726528
2,99,1.039507,1.729862
2,100,1.045788,1.733678
2,101,1.051723,1.721123
2,102,1.06309,1.711267
2,103,1.064868,1.696142
2,104,1.066447,1.74824
2,105,1.078762,1.851423
2,106,1.079941,1.877279
2,107,1.082827,1.887209
2,108,1.1041,1.899913
2,109,1.111931,1.918402
2,110,1.1242,1.976765
2,111,1.125628,2.02655
2,112,1.12664,1.987654
2,113,1.126523,1.917669
2,114,1.135718,1.873476
2,115,1.135007,1.906254
2,116,1.137544,1.860745
2,117,1.135672,1.795408
2,118,1.136496,1.79891
2,119,1.137139,1.858507
2,120,1.144729,1.872247
2,121,1.139582,1.891164
2,122,1.142735,1.906252
2,123,1.136727,1.912396
2,124,1.133686,1.890819
2,125,1.159576,1.871943
2,126,1.257983,1.847311
2,127,1.320334,1.807732
2,128,1.30955,1.781266
2,129,1.257667,1.763603
2,130,1.215671,1.748219
2,131,1.173591,1.755491
2,132,1.147962,1.801077
2,133,1.137704,1.866873
2,134,1.129383,1.891109
2,135,1.141133,1.886142
2,136,1.145535,1.863775
2,137,1.146926,1.838874
2,138,1.143033,1.813309
2,139,1.14189,1.797751
2,140,1.142021,1.77589
2,141,1.151347,1.768331
2,142,1.153178,1.755001
2,143,1.144168,1.74187
2,144,1.143537,1.724367
2,145,1.208247,1.720057
2,146,1.258761,1.702776
2,147,1.245936,1.703215
2,148,1.2161,1.690917
2,149,1.181291,1.682801
2,150,1.152128,1.670518
2,151,1.129777,1.664556
2,152,1.122127,1.660966
2,153,1.112583,1.665797
2,154,1.116978,1.671277
2,155,1.118804,1.672661
2,156,1.121339,1.672813
2,157,1.124565,1.704782
2,158,1.122654,1.781693
2,159,1.128448,1.852597
2,160,1.207266,1.890222
2,161,1.335951,1.89669
2,162,1.455219,1.910787
2,163,1.516564,1.904634
2,164,1.519644,1.926835
