Cantos,Muestras,,
,,CTC,CZC
1,37,1.393687,1.750296
1,38,1.391417,1.747738
1,39,1.384963,1.751657
1,40,1.385226,1.745245
1,41,1.379921,1.747463
1,42,1.377876,1.738281
1,43,1.381704,1.736051
1,44,1.379072,1.737453
1,45,1.367582,1.736148
1,46,1.350202,1.721806
1,47,1.338809,1.701604
1,48,1.33796,1.697556
1,49,1.343591,1.703363
1,50,1.359934,1.720381
1,51,1.355298,1.73348
1,52,1.345023,1.749147
1,53,1.354774,1.762823
1,54,1.366982,1.760566
1,55,1.359028,1.763256
1,56,1.348907,1.756021
1,57,1.341128,1.759563
1,58,1.337533,1.756045
1,59,1.343272,1.756331
1,60,1.348727,1.752354
1,61,1.333148,1.745456
1,62,1.31539,1.741118
1,63,1.312744,1.736316
1,64,1.316564,1.737812
1,65,1.319689,1.71838
1,66,1.323316,1.725259
1,67,1.314266,1.718902
1,68,1.30073,1.710364
1,69,1.287365,1.697735
1,70,1.295451,1.696849
1,71,1.295638,1.690228
1,72,1.292929,1.69256
1,73,1.2947,1.691419
1,74,1.306932,1.682911
1,75,1.311519,1.672735
1,76,1.313671,1.67193
1,77,1.317098,1.664367
1,78,1.323644,1.666784
1,79,1.320566,1.662856
1,80,1.306274,1.655741
1,81,1.295419,1.660507
1,82,1.275905,1.655958
1,83,1.268036,1.651954
1,84,1.275434,1.654465
1,85,1.271138,1.654203
1,86,1.267148,1.64728
1,87,1.262463,1.645066
1,88,1.250411,1.646033
1,89,1.244085,1.637692
1,90,1.239457,1.636711
1,91,1.261823,1.640953
1,92,1.255475,1.635657
1,93,1.250654,1.646735
1,94,1.245664,1.656716
1,95,1.241277,1.65331
1,96,1.239235,1.649277
2,97,1.235949,1.640592
2,98,1.2273,1.639358
2,99,1.210818,1.645885
2,100,1.20804,1.654461
2,101,1.216889,1.665581
2,102,1.217777,1.667856
2,103,1.219434,1.675955
2,104,1.23651,1.716336
2,105,1.2584,1.775176
2,106,1.215262,1.847184
2,107,1.239388,1.932692
2,108,1.307756,1.964547
2,109,1.329862,1.892049
2,110,1.31891,1.806707
2,111,1.320951,1.756351
2,112,1.34789,1.731122
2,113,1.344548,1.725648
2,114,1.368096,1.719395
2,115,1.416081,1.706829
2,116,1.42802,1.703637
2,117,1.429517,1.693086
2,118,1.449075,1.69201
2,119,1.512573,1.694147
2,120,1.516484,1.695105
2,121,1.49029,1.697559
2,122,1.511436,1.698099
2,123,1.585126,1.691749
2,124,1.613138,1.704012
2,125,1.599867,1.746578
2,126,1.58121,1.803567
2,127,1.56302,1.81896
2,128,1.559631,1.819844
2,129,1.551306,1.806369
2,130,1.546171,1.788325
2,131,1.53879,1.783998
2,132,1.531143,1.78419
2,133,1.519578,1.770239
2,134,1.50818,1.757309
2,135,1.495254,1.73759
2,136,1.480285,1.72333
2,137,1.479427,1.709316
2,138,1.469656,1.69786
2,139,1.465932,1.685124
2,140,1.462134,1.682854
2,141,1.455056,1.680987
2,142,1.435831,1.674315
2,143,1.426884,1.674938
2,144,1.425794,1.679251
2,145,1.427249,1.669198
2,146,1.415961,1.696262
2,147,1.420571,1.723372
2,148,1.428779,1.749792
2,149,1.431042,1.773952
2,150,1.445247,1.767447
2,151,1.457201,1.750622
2,152,1.415573,1.766319
2,153,1.413035,1.779804
2,154,1.419268,1.806543
2,155,1.412321,1.824952
2,156,1.476406,1.810309
2,157,1.548116,1.794599
2,158,1.553537,1.773738
2,159,1.509564,1.767358
2,160,1.476456,1.760699
2,161,1.492032,1.75273
2,162,1.483574,1.753109
2,163,1.471748,1.732885
2,164,1.470458,1.714216
2,165,1.487698,1.7115
2,166,1.526116,1.695356
2,167,1.58909,1.708798
2,168,1.596648,1.72469
2,169,1.57647,1.75824
2,170,1.58429,1.831157
2,171,1.57513,1.884105
2,172,1.584713,1.88918
2,173,1.585945,1.860347
2,174,1.584386,1.875984
2,175,1.576083,1.912829
2,176,1.572728,1.928755
2,177,1.568645,1.927335
2,178,1.55937,1.898767
2,179,1.541588,1.877773
2,180,1.526816,1.84888
2,181,1.514665,1.827132
2,182,1.50534,1.81157
2,183,1.491828,1.80614
2,184,1.478766,1.807306
2,185,1.46258,1.827912
2,186,1.448035,1.818689
2,187,1.443343,1.798162
2,188,1.43622,1.79023
2,189,1.427288,1.792831
2,190,1.429584,1.77266
2,191,1.427915,1.743257
2,192,1.423714,1.714728
2,193,1.412009,1.694984
2,194,1.421562,1.673279
2,195,1.424083,1.655879
2,196,1.417652,1.647345
2,197,1.420977,1.645975
2,198,1.40636,1.628996
2,199,1.36229,1.633735
2,200,1.355481,1.628647
2,201,1.377855,1.628197
2,202,1.363292,1.620251
2,203,1.337826,1.622185
2,204,1.406378,1.617891
2,205,1.438076,1.646816
2,206,1.45881,1.671384
2,207,1.506181,1.713692
2,208,1.508643,1.744733
2,209,1.488215,1.75802
2,210,1.473544,1.767467
2,211,1.471451,1.755546
2,212,1.492744,1.730421
2,213,1.533797,1.736669
2,214,1.52487,1.754628
2,215,1.508415,1.736126
2,216,1.512589,1.701915
3,217,1.583615,1.675374
3,218,1.657829,1.651839
3,219,1.697042,1.629338
3,220,1.721693,1.625268
3,221,1.74342,1.619209
3,222,1.74874,1.622795
3,223,1.708166,1.63845
3,224,1.658855,1.701107
3,225,1.656734,1.738749
3,226,1.641813,1.784847
3,227,1.653641,1.830131
3,228,1.671275,1.857977
3,229,1.69366,1.865854
3,230,1.717588,1.86026
3,231,1.731532,1.841533
3,232,1.728741,1.816561
3,233,1.713221,1.793715
3,234,1.703464,1.800347
3,235,1.711836,1.817862
3,236,1.730695,1.840485
3,237,1.752276,1.896294
3,238,1.768819,1.931005
