Cantos,Muestras,,
,,CTC,CZC
1,37,2.427617,2.946086
1,38,2.423304,2.948195
1,39,2.466141,3.026124
1,40,2.515956,2.987575
1,41,2.518044,2.917883
1,42,2.520329,2.847404
1,43,2.500376,2.791095
1,44,2.499524,2.753096
1,45,2.488748,2.725285
1,46,2.482482,2.713197
1,47,2.464353,2.696091
1,48,2.4706,2.701815
1,49,2.468611,2.720387
1,50,2.471426,2.759479
1,51,2.475381,2.773239
1,52,2.470458,2.767985
1,53,2.468694,2.74021
1,54,2.470038,2.696992
1,55,2.468734,2.68711
1,56,2.46419,2.682837
1,57,2.450153,2.675939
1,58,2.442702,2.663062
1,59,2.433158,2.667775
1,60,2.429859,2.700549
1,61,2.424068,2.721269
1,62,2.416425,2.719215
1,63,2.421518,2.688223
1,64,2.427257,2.686039
1,65,2.431403,2.689517
1,66,2.431234,2.667444
1,67,2.438064,2.656543
1,68,2.438887,2.656335
1,69,2.446589,2.697119
1,70,2.445348,2.744141
1,71,2.441008,2.779074
1,72,2.448406,2.782025
1,73,2.449426,2.72997
1,74,2.45756,2.704735
1,75,2.458987,2.759235
1,76,2.459121,2.827661
1,77,2.458369,2.916581
1,78,2.459114,3.028301
1,79,2.455845,3.017048
1,80,2.457148,2.938302
1,81,2.461568,2.907296
1,82,2.458031,3.02064
1,83,2.452747,3.003883
1,84,2.447594,2.900722
1,85,2.445275,2.820584
1,86,2.434199,2.80341
1,87,2.433743,2.82271
1,88,2.424253,2.78137
1,89,2.419964,2.770099
1,90,2.421619,2.799934
1,91,2.440341,2.784749
1,92,2.447637,2.769394
1,93,2.460886,2.724902
1,94,2.456074,2.695883
1,95,2.45629,2.762694
1,96,2.457781,2.848105
2,97,2.449599,2.964338
2,98,2.453164,3.030025
2,99,2.445215,3.051603
2,100,2.445294,3.06906
2,101,2.44385,3.063018
2,102,2.440188,3.055738
2,103,2.473317,3.092505
2,104,2.484154,3.107388
2,105,2.482985,3.157085
2,106,2.490602,3.239784
2,107,2.49889,3.318281
2,108,2.519453,3.39579
2,109,2.543583,3.405589
2,110,2.657002,3.382046
2,111,2.77135,3.35524
2,112,2.767946,3.345099
2,113,2.720355,3.330029
2,114,2.661463,3.339633
2,115,2.61699,3.344202
2,116,2.588247,3.367267
2,117,2.606385,3.40892
2,118,2.694613,3.360978
2,119,2.842068,3.278732
2,120,2.928606,3.20246
2,121,2.934239,3.164088
2,122,2.877529,3.148008
2,123,2.778127,3.158327
2,124,2.688751,3.180412
2,125,2.637885,3.186148
2,126,2.69829,3.160217
2,127,2.67403,3.112174
2,128,2.606049,3.09534
2,129,2.546982,3.077498
2,130,2.549546,3.077967
2,131,2.5696,3.074021
2,132,2.556754,3.043583
2,133,2.514628,2.995425
2,134,2.483571,2.961995
2,135,2.489118,2.941899
2,136,2.496252,2.939406
2,137,2.520667,2.941651
2,138,2.580698,2.929979
2,139,2.668603,2.889514
2,140,2.743817,2.862909
2,141,2.737666,2.86195
2,142,2.656526,2.878849
2,143,2.589778,2.871368
2,144,2.498992,2.839832
2,145,2.410694,2.809035
2,146,2.346206,2.789038
2,147,2.300734,2.798514
2,148,2.270676,2.838559
2,149,2.252223,2.853037
2,150,2.242663,2.811176
2,151,2.258463,2.813473
