Cantos,Muestras,,
,,CTC,CZC
3,264,2.578578,2.15942
3,265,2.569809,2.202289
3,266,2.564538,2.29559
3,267,2.551003,2.359958
3,268,2.526284,2.352918
3,269,2.538828,2.337835
3,270,2.551734,2.343963
3,271,2.537965,2.390088
3,272,2.501869,2.456363
3,273,2.464085,2.464124
3,274,2.414639,2.390051
3,275,2.405114,2.278385
3,276,2.407365,2.167313
3,277,2.432322,2.119547
3,278,2.465451,2.219764
3,279,2.480739,2.315508
3,280,2.491685,2.340299
3,281,2.509885,2.331274
3,282,2.508693,2.292265
3,283,2.506175,2.292962
3,284,2.483332,2.313227
3,285,2.42717,2.30461
3,286,2.379633,2.30994
3,287,2.352196,2.300984
3,288,2.335001,2.35316
3,289,2.321915,2.377
3,290,2.312365,2.390969
3,291,2.314422,2.384696
3,292,2.321448,2.401562
3,293,2.339357,2.366356
3,294,2.377671,2.361095
3,295,2.433674,2.383961
3,296,2.463081,2.367318
3,297,2.484808,2.320856
3,298,2.506339,2.260274
3,299,2.538658,2.276583
3,300,2.526657,2.288361
3,301,2.501194,2.293247
3,302,2.437678,2.234527
3,303,2.388189,2.215814
3,304,2.355219,2.282883
3,305,2.337897,2.327294
3,306,2.347756,2.290174
3,307,2.384172,2.254519
3,308,2.421276,2.228907
3,309,2.459466,2.151404
3,310,2.493623,2.067191
3,311,2.50827,2.103856
3,312,2.496725,2.187098
3,313,2.457926,2.220424
3,314,2.410164,2.201024
3,315,2.372744,2.189595
3,316,2.351889,2.201974
3,317,2.340969,2.2251
3,318,2.34443,2.216057
3,319,2.406259,2.208159
3,320,2.513059,2.17694
3,321,2.595689,2.233193
3,322,2.62688,2.302454
3,323,2.579982,2.365464
3,324,2.488773,2.394881
3,325,2.399239,2.385975
3,326,2.340027,2.379345
3,327,2.300901,2.351196
3,328,2.289191,2.261777
3,329,2.306169,2.192791
3,330,2.332335,2.163926
3,331,2.346734,2.11615
3,332,2.334856,2.113489
3,333,2.338021,2.115644
3,334,2.377061,2.191449
3,335,2.434084,2.224453
3,336,2.478065,2.245142
4,337,2.507336,2.289966
4,338,2.517517,2.331245
4,339,2.519026,2.329318
4,340,2.489221,2.341905
4,341,2.435495,2.332206
4,342,2.403495,2.258921
4,343,2.413111,2.182007
4,344,2.459746,2.132523
4,345,2.506009,2.116812
4,346,2.535972,2.135384
4,347,2.568835,2.186329
4,348,2.588559,2.235074
4,349,2.586771,2.251965
4,350,2.598665,2.268183
4,351,2.646683,2.214794
4,352,2.641879,2.205695
4,353,2.62162,2.225995
4,354,2.604199,2.247314
4,355,2.579663,2.283835
4,356,2.583395,2.352698
4,357,2.601773,2.410259
4,358,2.612358,2.410033
4,359,2.649207,2.389925
4,360,2.645913,2.402155
4,361,2.622584,2.405738
4,362,2.607634,2.406085
4,363,2.596288,2.40169
4,364,2.57998,2.377178
4,365,2.561769,2.313961
4,366,2.581155,2.256648
4,367,2.585592,2.23941
4,368,2.601094,2.229695
4,369,2.590356,2.194514
4,370,2.571255,2.190059
4,371,2.555527,2.1788
4,372,2.547788,2.191079
4,373,2.565344,2.170274
4,374,2.561784,2.188675
4,375,2.535201,2.20079
4,376,2.518491,2.201743
4,377,2.511978,2.230659
4,378,2.51411,2.247982
4,379,2.519932,2.312866
4,380,2.531399,2.379806
4,381,2.565617,2.420717
4,382,2.604487,2.447745
4,383,2.634777,2.450617
4,384,2.625498,2.407069
4,385,2.585902,2.353593
4,386,2.541243,2.343008
4,387,2.526185,2.357088
4,388,2.526604,2.358328
4,389,2.502119,2.349936
4,390,2.454882,2.336759
4,391,2.419137,2.321165
4,392,2.378371,2.291735
4,393,2.349531,2.259079
4,394,2.330079,2.210024
4,395,2.311013,2.19406
4,396,2.306646,2.203683
4,397,2.295107,2.237371
4,398,2.27943,2.254542
4,399,2.271115,2.247032
4,400,2.260114,2.225945
4,401,2.244839,2.18645
4,402,2.227142,2.201513
4,403,2.212591,2.219539
4,404,2.204506,2.221761
4,405,2.187534,2.229563
4,406,2.184851,2.259482
4,407,2.175989,2.302742
4,408,2.158754,2.323479
4,409,2.145195,2.329967
4,410,2.149424,2.285456
4,411,2.163248,2.261806
4,412,2.185337,2.190387
4,413,2.217749,2.157896
4,414,2.24444,2.178057
4,415,2.268001,2.189208
4,416,2.252003,2.181138
4,417,2.214166,2.176035
4,418,2.182507,2.17363
4,419,2.146657,2.19227
4,420,2.135144,2.220247
4,421,2.138158,2.254979
4,422,2.168166,2.253407
4,423,2.208578,2.212362
4,424,2.236548,2.200265
4,425,2.260893,2.246536
4,426,2.264286,2.288428
4,427,2.270842,2.299073
4,428,2.3074,2.257474
4,429,2.342847,2.175233
4,430,2.369611,2.110353
4,431,2.376366,2.093041
4,432,2.374226,2.116706
4,433,2.348842,2.142067
4,434,2.364739,2.165295
4,435,2.375271,2.114643
4,436,2.375485,2.033134
4,437,2.374836,2.01904
4,438,2.373279,2.035041
4,439,2.379122,2.026035
4,440,2.39297,2.025687
4,441,2.421788,2.043771
4,442,2.431384,2.08092
4,443,2.452065,2.092465
4,444,2.467197,2.119827
4,445,2.470764,2.168453
4,446,2.460922,2.192907
4,447,2.461816,2.225387
4,448,2.443784,2.246073
4,449,2.435216,2.264107
4,450,2.451581,2.267893
4,451,2.447344,2.240869
4,452,2.430617,2.221903
4,453,2.412317,2.21669
4,454,2.408262,2.193154
4,455,2.448287,2.15845
4,456,2.511767,2.145554
5,457,2.587764,2.156576
5,458,2.637815,2.159596
5,459,2.648245,2.172987
5,460,2.66674,2.126924
5,461,2.670117,2.110918
5,462,2.681298,2.08472
5,463,2.680314,2.09198
5,464,2.669459,2.089847
5,465,2.665237,2.089234
5,466,2.671585,2.1238
5,467,2.67491,2.118304
5,468,2.668863,2.056065
5,469,2.658366,2.0295
5,470,2.639102,2.04897
5,471,2.622613,2.032793
5,472,2.614697,1.9738
5,473,2.59754,1.99199
5,474,2.580352,2.012399
5,475,2.566803,2.009416
5,476,2.532124,1.98554
5,477,2.504112,1.977339
5,478,2.514066,2.017698
5,479,2.520777,2.069709
5,480,2.528151,2.108886
5,481,2.526525,2.119203
5,482,2.530664,2.080426
5,483,2.536173,2.065575
5,484,2.547327,2.11342
5,485,2.553391,2.159439
5,486,2.550785,2.135685
5,487,2.545891,2.087454
5,488,2.537341,2.093454
5,489,2.506473,2.108979
5,490,2.444966,2.113881
5,491,2.397684,2.08221
5,492,2.383096,2.050044
5,493,2.397101,2.03821
5,494,2.419933,2.017861
5,495,2.414579,1.978094
5,496,2.383481,1.972494
5,497,2.354267,2.022236
5,498,2.35374,2.052608
5,499,2.357435,2.045548
5,500,2.354253,1.997655
5,501,2.327574,1.979058
5,502,2.306722,1.983733
5,503,2.316802,1.980408
5,504,2.343987,1.990193
5,505,2.327113,1.920124
5,506,2.304741,1.908575
5,507,2.303687,1.896603
5,508,2.290209,1.926734
5,509,2.287582,1.985198
5,510,2.286457,2.011522
5,511,2.277696,2.008232
5,512,2.266742,1.980601
5,513,2.251699,1.980552
5,514,2.235619,2.018867
5,515,2.221056,2.057422
5,516,2.214303,2.068281
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
