Cantos,Muestras,,
,,CTC,CZC
1,37,1.558068,2.536987
1,38,1.557785,2.534403
1,39,1.560229,2.551203
1,40,1.564697,2.555804
1,41,1.572541,2.569008
1,42,1.579727,2.579348
1,43,1.594476,2.592788
1,44,1.619832,2.599551
1,45,1.628428,2.615212
1,46,1.63238,2.626201
1,47,1.629438,2.633395
1,48,1.628806,2.636141
1,49,1.631048,2.639966
1,50,1.63015,2.640717
1,51,1.638469,2.642552
1,52,1.640424,2.644111
1,53,1.630367,2.64811
1,54,1.640158,2.646764
1,55,1.653912,2.645739
1,56,1.658237,2.64996
1,57,1.678236,2.654308
1,58,1.703455,2.661233
1,59,1.73697,2.65396
1,60,1.739172,2.648442
1,61,1.741822,2.651574
1,62,1.727458,2.654758
1,63,1.72262,2.65816
1,64,1.720065,2.661252
1,65,1.718867,2.657614
1,66,1.728179,2.651557
1,67,1.733333,2.644128
1,68,1.727659,2.637408
1,69,1.732595,2.63276
1,70,1.731028,2.630046
1,71,1.724156,2.607702
1,72,1.716021,2.553841
1,73,1.707873,2.510996
1,74,1.704129,2.488614
1,75,1.709659,2.476392
1,76,1.717409,2.476185
1,77,1.710619,2.458749
1,78,1.715865,2.44634
1,79,1.713233,2.439046
1,80,1.716173,2.434462
1,81,1.728007,2.449282
1,82,1.736677,2.448745
1,83,1.746679,2.451905
1,84,1.741332,2.457648
1,85,1.729006,2.451136
1,86,1.719553,2.447706
1,87,1.706495,2.440215
1,88,1.694752,2.439965
1,89,1.679256,2.432258
1,90,1.672312,2.418808
1,91,1.667937,2.424102
1,92,1.654904,2.42534
1,93,1.6353,2.429612
1,94,1.616468,2.404514
1,95,1.616847,2.40245
1,96,1.625007,2.410805
2,97,1.638743,2.40019
2,98,1.662959,2.385784
2,99,1.675867,2.374818
2,100,1.692304,2.379881
2,101,1.708545,2.409034
2,102,1.734177,2.422355
2,103,1.746969,2.437594
2,104,1.762249,2.436691
2,105,1.795874,2.440185
2,106,1.831761,2.426811
2,107,1.860652,2.421494
2,108,1.876261,2.413412
2,109,1.891974,2.420525
2,110,1.911178,2.439735
2,111,1.930499,2.443811
2,112,1.942471,2.435067
2,113,1.962039,2.433277
2,114,1.96252,2.435622
2,115,1.966567,2.43588
2,116,1.952088,2.438763
2,117,1.934347,2.448808
2,118,1.909919,2.456096
2,119,1.885284,2.490646
2,120,1.860254,2.554436
2,121,1.842451,2.639253
2,122,1.831467,2.731448
2,123,1.838957,2.794445
2,124,1.843936,2.828681
2,125,1.857042,2.84482
2,126,1.87103,2.835037
2,127,1.887695,2.827567
2,128,1.899718,2.798179
2,129,1.901721,2.774657
2,130,1.903074,2.738816
2,131,1.886394,2.70647
2,132,1.875919,2.670351
2,133,1.859604,2.64725
2,134,1.831662,2.621973
2,135,1.81379,2.593249
2,136,1.786897,2.566317
2,137,1.756297,2.548136
2,138,1.726645,2.5589
2,139,1.708063,2.58424
2,140,1.689224,2.597495
2,141,1.695426,2.604185
2,142,1.705607,2.590074
2,143,1.710295,2.57872
2,144,1.722798,2.5716
2,145,1.721391,2.5667
2,146,1.737877,2.492141
2,147,1.749114,2.385285
2,148,1.764102,2.311715
2,149,1.764892,2.273136
2,150,1.767411,2.256823
2,151,1.749806,2.250355
2,152,1.732293,2.254353
2,153,1.715457,2.261869
2,154,1.69903,2.273034
2,155,1.675791,2.27724
2,156,1.656937,2.283279
2,157,1.64119,2.290898
2,158,1.642513,2.313213
2,159,1.661798,2.360976
2,160,1.674846,2.426956
2,161,1.682291,2.47353
2,162,1.697956,2.50377
2,163,1.701633,2.507962
2,164,1.713097,2.502065
2,165,1.724279,2.500782
2,166,1.730809,2.471867
2,167,1.740978,2.415265
2,168,1.737251,2.38649
2,169,1.725573,2.371691
2,170,1.701308,2.368009
2,171,1.688321,2.377429
2,172,1.664589,2.396865
2,173,1.652845,2.384361
2,174,1.64227,2.342424
2,175,1.629757,2.288756
2,176,1.629612,2.250945
2,177,1.64328,2.221803
2,178,1.651763,2.240984
2,179,1.662019,2.35054
