Cantos,Muestras,,
,,CTC,CZC
1,37,2.536214,0.8796725
1,38,2.538827,0.8813374
1,39,2.571241,0.9347267
1,40,2.606607,1.024069
1,41,2.6131,1.050951
1,42,2.550904,1.021201
1,43,2.488594,0.9896181
1,44,2.466937,0.9615366
1,45,2.475887,0.9185486
1,46,2.485202,0.8870335
1,47,2.502321,0.871002
1,48,2.516581,0.8409797
1,49,2.541302,0.8383642
1,50,2.606019,0.8573837
1,51,2.65646,0.8492568
1,52,2.689873,0.8386099
1,53,2.712419,0.8532434
1,54,2.728916,0.8904003
1,55,2.733789,0.9397715
1,56,2.69725,0.985683
1,57,2.643523,0.9572991
1,58,2.599298,0.9123057
1,59,2.581675,0.9447924
1,60,2.576266,1.022345
1,61,2.601839,1.037149
1,62,2.638224,1.039514
1,63,2.650277,1.054035
1,64,2.645134,1.058624
1,65,2.633186,1.033592
1,66,2.626948,1.023569
1,67,2.654944,1.028881
1,68,2.686966,0.9986929
1,69,2.701071,0.9464596
1,70,2.680213,0.9903674
1,71,2.654363,1.045077
1,72,2.640148,1.06855
1,73,2.663915,1.05638
1,74,2.647935,1.074064
1,75,2.662148,1.056623
1,76,2.700894,1.049694
1,77,2.719657,1.015788
1,78,2.696798,1.007909
1,79,2.648131,1.015752
1,80,2.643769,1.030613
1,81,2.686087,1.065997
1,82,2.675292,1.070419
1,83,2.656554,1.041903
1,84,2.711601,1.003082
1,85,2.735221,1.02235
1,86,2.716815,1.056502
1,87,2.710783,1.131969
1,88,2.688854,1.188158
1,89,2.640818,1.139164
1,90,2.651915,1.070618
1,91,2.685182,1.007887
1,92,2.735795,1.00692
1,93,2.762691,1.028089
1,94,2.787183,1.041536
1,95,2.776557,1.073756
1,96,2.735153,1.049505
2,97,2.74173,1.008467
2,98,2.762294,0.9387231
2,99,2.752853,0.8940995
2,100,2.756711,0.8439379
2,101,2.775982,0.7616541
2,102,2.779917,0.7209105
2,103,2.764656,0.7566324
2,104,2.733378,0.786406
2,105,2.750045,0.8197111
2,106,2.774456,0.8375567
2,107,2.750062,0.833792
2,108,2.740446,0.8123502
2,109,2.72761,0.7835144
2,110,2.713098,0.7914163
2,111,2.734694,0.8378079
2,112,2.71145,0.8582221
2,113,2.704139,0.8327144
2,114,2.719147,0.6801484
2,115,2.738889,0.5631753
2,116,2.777493,0.5510725
2,117,2.866316,0.5876539
2,118,2.905013,0.627281
2,119,3.011848,0.6552795
2,120,3.043985,0.7578525
2,121,2.993791,0.7761706
2,122,2.958503,0.8012723
2,123,2.952955,0.8321357
2,124,2.979266,0.813091
2,125,2.954892,0.805117
2,126,2.8987,0.8174328
2,127,2.877227,0.8259479
2,128,2.836995,0.7850025
2,129,2.836606,0.8260418
2,130,2.843348,0.8543454
2,131,2.864324,0.8405234
2,132,2.910557,0.803046
2,133,2.884066,0.7650464
2,134,2.826917,0.7358366
2,135,2.822424,0.7812428
2,136,2.782805,0.8149384
2,137,2.747667,0.7684066
2,138,2.747843,0.7768309
2,139,2.727503,0.8059939
2,140,2.77486,0.7406826
2,141,2.770336,0.7040058
2,142,2.715447,0.7194799
2,143,2.779986,0.7013411
2,144,2.842969,0.6635694
2,145,2.813327,0.6771952
2,146,2.832471,0.6893008
2,147,2.807254,0.7458951
2,148,2.724964,0.7602574
2,149,2.72428,0.7915732
2,150,2.736972,0.8087333
2,151,2.692145,0.7813488
2,152,2.647987,0.7634382
2,153,2.615966,0.7696435
2,154,2.612479,0.7458107
2,155,2.689456,0.7373771
2,156,2.732553,0.7632073
2,157,2.825186,0.7666443
2,158,2.878877,0.8746
2,159,2.891229,0.9496276
2,160,2.888284,0.876215
2,161,2.84896,0.8413274
2,162,2.779024,0.7765757
2,163,2.712064,0.717097
2,164,2.646865,0.6769598
2,165,2.643622,0.6849715
2,166,2.723342,0.7226461
2,167,2.780234,0.7597467
2,168,2.80569,0.8597234
2,169,2.798522,0.9100566
2,170,2.824768,0.9026178
2,171,2.789235,0.8941792
2,172,2.799012,0.8487477
2,173,2.780676,0.8394327
2,174,2.757565,0.8670227
2,175,2.695941,0.9729662
2,176,2.61097,1.029307
2,177,2.578319,1.040823
2,178,2.620708,1.033909
2,179,2.716259,0.9944623
2,180,2.794519,0.9188027
2,181,2.837668,0.9264474
2,182,2.809688,0.9052774
2,183,2.746852,0.8564134
2,184,2.685339,0.931971
2,185,2.685679,1.068932
2,186,2.711352,1.144885
2,187,2.754483,1.186902
2,188,2.843717,1.157126
2,189,2.890371,1.104672
2,190,2.828665,1.105887
2,191,2.728263,1.146222
2,192,2.701473,1.211744
2,193,2.676619,1.235683
2,194,2.708307,1.275064
2,195,2.738694,1.257524
2,196,2.81957,1.240464
2,197,2.905658,1.237095
2,198,2.921269,1.198786
2,199,2.971795,1.193414
2,200,2.980553,1.132803
2,201,2.931223,1.080954
2,202,2.89354,1.063668
2,203,2.875938,1.036144
2,204,2.905904,1.071545
2,205,2.961563,1.094172
2,206,3.033404,1.078503
2,207,2.976775,1.089541
2,208,2.849583,1.127041
2,209,2.750617,1.045114
2,210,2.790805,0.9659147
2,211,2.901346,0.9875343
